# Wavelength(A)  Flux(10^-17 erg/s/cm^2/A)
4061.6270  4.0140
4062.5610  4.0440
4063.4980  3.9160
4064.4330  8.3660
4065.3700  4.7930
4066.3050  6.5120
4067.2410  6.3190
4068.1790  5.9910
4069.1150  6.0720
4070.0530  5.2510
4070.9890  5.5120
4071.9280  5.3970
4072.8650  3.0590
4073.8020  5.0270
4074.7410  6.4350
4075.6790  4.2790
4076.6180  5.3930
4077.5560  3.8100
4078.4970  4.6130
4079.4350  4.5750
4080.3730  4.5980
4081.3140  8.3110
4082.2530  3.2440
4083.1940  4.8430
4084.1340  3.9090
4085.0760  3.9000
4086.0150  3.8960
4086.9550  5.4960
4087.8980  8.5170
4088.8380  9.2290
4089.7810  5.8030
4090.7220  3.8130
4091.6650  7.2420
4092.6060  7.1920
4093.5480  4.7210
4094.4920  6.5300
4095.4340  8.6430
4096.3780  6.7590
4097.3210  8.0490
4098.2660  7.2560
4099.2080  7.3290
4100.1510  5.9030
4101.0970  2.9740
4102.0400  7.3220
4102.9860  6.7530
4103.9300  5.7790
4104.8760  7.1950
4105.8210  5.0490
4106.7680  6.3210
4107.7120  4.7700
4108.6570  4.4850
4109.6040  7.5050
4110.5500  7.8740
4111.4980  6.3580
4112.4440  7.4410
4113.3920  6.3670
4114.3380  9.1100
4115.2850  6.9920
4116.2340  4.6590
4117.1810  3.7910
4118.1300  5.6800
4119.0780  5.2770
4120.0270  4.9310
4120.9750  5.3310
4121.9230  4.8510
4122.8740  6.4310
4123.8220  7.9260
4124.7730  7.2320
4125.7220  7.3920
4126.6730  5.9910
4127.6230  4.0080
4128.5720  6.7500
4129.5240  6.8580
4130.4750  3.4110
4131.4270  4.6460
4132.3770  8.2960
4133.3300  5.5070
4134.2810  5.0290
4135.2320  7.9850
4136.1860  4.8380
4137.1370  2.7370
4138.0910  5.7010
4139.0430  8.0120
4139.9980  6.7340
4140.9500  7.1230
4141.9030  8.5860
4142.8580  8.0100
4143.8110  7.7890
4144.7670  6.4200
4145.7200  7.3840
4146.6760  4.5240
4147.6300  6.3560
4148.5840  8.4390
4149.5410  5.4070
4150.4950  5.8490
4151.4530  5.6280
4152.4070  5.3730
4153.3650  6.5340
4154.3200  4.9300
4155.2760  8.2130
4156.2340  7.2510
4157.1900  6.7010
4158.1490  3.2670
4159.1050  6.1380
4160.0650  6.6820
4161.0220  9.0750
4161.9790  9.0300
4162.9390  9.2000
4163.8960  10.9100
4164.8560  9.2090
4165.8150  9.4570
4166.7750  8.4080
4167.7340  8.1440
4168.6930  8.0410
4169.6540  10.8200
4170.6130  7.1640
4171.5750  7.2490
4172.5350  8.7320
4173.4970  6.7230
4174.4570  5.3050
4175.4170  7.5210
4176.3800  9.3070
4177.3410  8.6350
4178.3040  5.0050
4179.2650  9.3650
4180.2290  6.2080
4181.1910  4.1470
4182.1550  4.9690
4183.1170  7.3020
4184.0800  7.7030
4185.0440  5.2190
4186.0070  3.6180
4186.9720  4.7200
4187.9360  5.4700
4188.9010  6.7510
4189.8650  4.4720
4190.8290  4.1530
4191.7950  4.2320
4192.7590  3.9480
4193.7260  5.2020
4194.6910  5.2420
4195.6580  3.7430
4196.6240  4.5020
4197.5890  6.6920
4198.5570  5.8770
4199.5230  6.1300
4200.4910  5.9860
4201.4580  5.4120
4202.4260  6.9180
4203.3930  10.5530
4204.3600  6.8190
4205.3300  7.2450
4206.2970  9.0530
4207.2670  6.4130
4208.2350  4.4280
4209.2050  4.9030
4210.1740  5.8080
4211.1420  6.9600
4212.1130  7.7600
4213.0820  5.1460
4214.0540  8.2930
4215.0230  9.2060
4215.9950  7.4180
4216.9650  6.7000
4217.9350  6.0080
4218.9080  6.5490
4219.8780  9.4270
4220.8520  8.8230
4221.8220  6.2640
4222.7960  5.6390
4223.7680  7.8800
4224.7390  7.6790
4225.7130  9.3130
4226.6860  6.3760
4227.6600  6.6210
4228.6330  7.3500
4229.6080  8.2190
4230.5810  10.2220
4231.5540  8.4220
4232.5300  6.2300
4233.5030  6.7410
4234.4800  5.8950
4235.4540  6.3230
4236.4310  5.4760
4237.4050  10.0710
4238.3800  12.3250
4239.3570  14.2280
4240.3330  16.4270
4241.3110  19.7270
4242.2860  22.1470
4243.2640  20.5620
4244.2410  20.2150
4245.2170  17.8470
4246.1960  15.5140
4247.1730  9.7470
4248.1520  8.5710
4249.1290  6.3480
4250.1090  3.1770
4251.0870  3.7750
4252.0650  5.3170
4253.0450  6.4140
4254.0240  6.9580
4255.0050  5.4470
4255.9830  6.5510
4256.9650  6.8680
4257.9440  6.7340
4258.9260  11.7700
4259.9060  7.0950
4260.8860  6.2940
4261.8690  4.9540
4262.8490  6.0310
4263.8320  5.8330
4264.8130  5.2320
4265.7960  5.7000
4266.7780  2.5120
4267.7590  3.0510
4268.7430  5.0540
4269.7260  4.9800
4270.7100  6.7750
4271.6920  6.7280
4272.6770  5.3040
4273.6610  7.3790
4274.6440  6.5350
4275.6290  6.7930
4276.6130  7.5610
4277.5990  8.4700
4278.5830  12.2220
4279.5700  9.3680
4280.5540  8.1030
4281.5390  7.5610
4282.5260  5.8100
4283.5120  10.4390
4284.4990  9.1910
4285.4850  8.9590
4286.4730  6.3920
4287.4590  3.8560
4288.4450  4.6400
4289.4350  5.9090
4290.4210  6.7270
4291.4110  7.6280
4292.3980  6.1360
4293.3880  8.5470
4294.3750  8.3720
4295.3630  6.5390
4296.3540  4.5800
4297.3420  6.8540
4298.3330  7.7660
4299.3220  6.3040
4300.3130  6.4060
4301.3030  9.1600
4302.2920  9.9140
4303.2840  8.0240
4304.2740  10.1320
4305.2670  8.9420
4306.2570  6.8950
4307.2500  8.1210
4308.2410  8.8910
4309.2320  5.4190
4310.2260  7.8680
4311.2170  8.0130
4312.2110  7.3740
4313.2040  9.7150
4314.1980  9.4080
4315.1900  5.2580
4316.1840  4.2110
4317.1790  6.2790
4318.1720  10.1190
4319.1670  4.5830
4320.1610  5.6440
4321.1570  5.8290
4322.1510  4.4470
4323.1460  7.0270
4324.1430  7.4880
4325.1380  5.5300
4326.1350  5.0580
4327.1300  7.3040
4328.1280  9.2550
4329.1240  5.8110
4330.1200  6.3940
4331.1180  8.5130
4332.1140  8.1670
4333.1130  8.0510
4334.1100  7.5030
4335.1100  8.6320
4336.1070  8.8330
4337.1070  8.2180
4338.1040  6.9890
4339.1030  7.7190
4340.1030  8.4880
4341.1020  3.7190
4342.1030  4.3010
4343.1020  10.1690
4344.1030  10.1740
4345.1030  7.8520
4346.1020  6.6480
4347.1040  7.0820
4348.1040  6.8230
4349.1070  7.7270
4350.1070  7.9730
4351.1100  6.1430
4352.1110  5.5300
4353.1130  6.4810
4354.1170  5.7980
4355.1180  6.1750
4356.1230  4.7110
4357.1250  3.6590
4358.1290  5.6050
4359.1320  5.9520
4360.1350  6.2170
4361.1400  3.9330
4362.1440  1.7290
4363.1490  4.0500
4364.1530  6.2040
4365.1590  4.5920
4366.1640  4.0360
4367.1680  5.5490
4368.1750  4.8460
4369.1800  5.6470
4370.1880  3.6630
4371.1930  6.3050
4372.2010  8.9480
4373.2070  4.6190
4374.2130  7.5530
4375.2210  7.3460
4376.2280  4.7820
4377.2370  4.6700
4378.2440  4.6420
4379.2530  5.6660
4380.2610  8.9010
4381.2690  8.5040
4382.2790  9.2370
4383.2870  8.9080
4384.2980  7.1640
4385.3070  4.5060
4386.3180  5.1050
4387.3270  5.7600
4388.3360  7.5070
4389.3480  8.9140
4390.3580  8.2880
4391.3700  7.9960
4392.3800  8.6530
4393.3940  7.2770
4394.4040  6.0890
4395.4150  8.5640
4396.4290  6.6520
4397.4400  6.1200
4398.4540  9.7210
4399.4660  9.2350
4400.4800  11.1470
4401.4930  13.8180
4402.5050  17.2670
4403.5210  19.4950
4404.5340  17.0530
4405.5490  12.4600
4406.5620  10.0810
4407.5790  8.6840
4408.5930  7.7770
4409.6070  8.7480
4410.6240  8.2510
4411.6390  7.3680
4412.6560  5.2110
4413.6710  6.9580
4414.6880  5.7940
4415.7040  6.9290
4416.7230  6.6030
4417.7390  5.9220
4418.7550  7.5150
4419.7740  6.1480
4420.7910  2.1020
4421.8100  3.9100
4422.8270  6.0300
4423.8470  5.8680
4424.8650  7.6500
4425.8830  6.3510
4426.9030  8.9870
4427.9220  8.3850
4428.9430  8.9370
4429.9620  7.7520
4430.9830  7.5120
4432.0020  8.1350
4433.0220  7.3000
4434.0440  6.6990
4435.0640  8.4280
4436.0870  9.4920
4437.1080  7.2470
4438.1310  7.7880
4439.1520  8.3360
4440.1730  5.8210
4441.1970  5.7400
4442.2190  6.9360
4443.2430  7.3190
4444.2650  7.8650
4445.2900  7.2420
4446.3120  7.7400
4447.3350  8.1920
4448.3610  9.0850
4449.3840  9.4300
4450.4110  6.9860
4451.4340  9.5590
4452.4610  8.2760
4453.4850  11.1010
4454.5100  9.7920
4455.5370  9.9300
4456.5620  9.2050
4457.5890  10.0160
4458.6150  9.8490
4459.6430  8.6900
4460.6690  7.9260
4461.6950  8.5620
4462.7240  7.8150
4463.7500  6.9570
4464.7800  8.3960
4465.8070  6.8850
4466.8370  6.4910
4467.8640  7.5960
4468.8920  5.9270
4469.9230  6.2820
4470.9510  7.0180
4471.9820  5.4920
4473.0110  2.9320
4474.0420  2.1670
4475.0720  3.5980
4476.1010  4.1690
4477.1330  4.1740
4478.1630  4.4700
4479.1960  3.3880
4480.2270  2.7870
4481.2590  4.7920
4482.2910  4.2730
4483.3210  6.4540
4484.3550  7.7660
4485.3870  6.9230
4486.4210  6.9250
4487.4540  8.9660
4488.4880  8.0140
4489.5210  7.2190
4490.5540  9.8150
4491.5890  9.8790
4492.6230  9.1840
4493.6580  9.4040
4494.6920  8.3030
4495.7290  9.1680
4496.7630  9.7060
4497.8000  7.1740
4498.8340  8.2550
4499.8700  8.6340
4500.9070  8.0050
4501.9420  9.2500
4502.9800  8.8760
4504.0170  7.4150
4505.0550  6.5430
4506.0910  8.6580
4507.1280  10.1850
4508.1670  7.9360
4509.2050  6.2620
4510.2450  6.7600
4511.2820  5.7930
4512.3220  5.4020
4513.3600  6.0100
4514.3980  6.9470
4515.4390  5.8930
4516.4790  3.6530
4517.5200  7.3550
4518.5590  6.2800
4519.6010  5.5920
4520.6410  6.5380
4521.6810  4.1980
4522.7240  7.2900
4523.7640  8.4340
4524.8070  7.0790
4525.8480  9.0180
4526.8920  8.7110
4527.9330  9.6540
4528.9750  10.5650
4530.0190  8.5230
4531.0610  8.7520
4532.1060  8.6820
4533.1490  9.7000
4534.1940  8.1560
4535.2370  10.8300
4536.2800  8.6950
4537.3270  8.2320
4538.3700  10.5720
4539.4170  10.7020
4540.4610  9.8830
4541.5080  10.3210
4542.5530  10.5650
4543.5980  10.0610
4544.6460  8.8480
4545.6910  8.1920
4546.7390  8.5880
4547.7850  8.0960
4548.8340  11.1440
4549.8800  11.0660
4550.9270  10.5090
4551.9770  10.9510
4553.0240  11.0010
4554.0740  10.3070
4555.1220  11.8290
4556.1720  11.7980
4557.2200  10.4300
4558.2690  9.8940
4559.3190  9.3560
4560.3680  9.5660
4561.4200  10.5390
4562.4690  11.1890
4563.5210  12.0410
4564.5710  10.0580
4565.6210  12.1400
4566.6740  12.4320
4567.7250  11.2500
4568.7780  13.8020
4569.8290  10.9670
4570.8830  11.9530
4571.9340  12.6130
4572.9890  13.0500
4574.0410  13.4480
4575.0930  11.7530
4576.1480  9.9400
4577.2010  9.9650
4578.2560  10.7640
4579.3090  11.4460
4580.3650  11.1930
4581.4190  9.7870
4582.4730  12.2490
4583.5300  11.2530
4584.5840  13.5740
4585.6410  10.5980
4586.6960  10.2890
4587.7540  12.0430
4588.8090  9.1970
4589.8650  9.7520
4590.9230  11.3270
4591.9790  11.7950
4593.0390  10.7510
4594.0950  10.6580
4595.1540  11.7670
4596.2110  11.0110
4597.2690  13.9150
4598.3290  10.9010
4599.3870  9.4050
4600.4470  12.0750
4601.5060  12.4340
4602.5670  11.5520
4603.6250  8.5470
4604.6850  8.7430
4605.7470  10.9250
4606.8060  9.7790
4607.8690  9.5720
4608.9290  11.5060
4609.9910  10.3530
4611.0520  9.5760
4612.1130  11.3500
4613.1760  10.8440
4614.2370  9.7190
4615.3010  11.9870
4616.3630  13.3240
4617.4280  10.5650
4618.4900  9.5800
4619.5520  8.4360
4620.6180  10.7970
4621.6810  11.7260
4622.7470  11.8360
4623.8100  11.0790
4624.8760  10.9270
4625.9400  10.2070
4627.0040  11.2580
4628.0710  11.0690
