# Wavelength(A)  Flux(10^-17 erg/s/cm^2/A)
5085.1060  15.5840
5086.2760  11.8960
5087.4490  14.7990
5088.6190  13.7150
5089.7920  13.3080
5090.9630  15.2370
5092.1350  13.7640
5093.3090  14.8140
5094.4800  16.2760
5095.6550  14.8630
5096.8280  14.1780
5098.0030  14.7540
5099.1760  15.3960
5100.3520  14.2020
5101.5250  13.0150
5102.6990  14.2080
5103.8750  15.1920
5105.0490  14.8680
5106.2270  14.8020
5107.4010  14.6670
5108.5790  13.8770
5109.7540  14.7700
5110.9300  14.8670
5112.1080  15.9020
5113.2840  15.1820
5114.4630  13.4530
5115.6400  14.6020
5116.8200  14.3230
5117.9970  13.6570
5119.1740  12.4950
5120.3540  13.7310
5121.5330  14.5030
5122.7130  15.6090
5123.8920  13.7350
5125.0740  16.2850
5126.2520  17.7470
5127.4320  17.0520
5128.6140  16.6020
5129.7940  15.9930
5130.9770  17.7980
5132.1570  14.6440
5133.3410  15.8900
5134.5220  15.3910
5135.7030  16.1940
5136.8870  16.3450
5138.0690  15.7280
5139.2540  15.1910
5140.4360  15.5350
5141.6220  16.4050
5142.8040  16.7360
5143.9870  13.9020
5145.1740  16.0320
5146.3570  17.6000
5147.5440  13.4600
5148.7280  13.2010
5149.9160  13.7410
5151.1000  13.4250
5152.2850  12.9660
5153.4730  12.5600
5154.6590  12.7810
5155.8480  12.5770
5157.0340  14.2350
5158.2230  15.2620
5159.4100  12.7620
5160.5960  14.6170
5161.7860  12.5820
5162.9740  14.1720
5164.1650  14.1400
5165.3530  14.6370
5166.5430  14.2010
5167.7320  15.3290
5168.9210  14.2020
5170.1130  14.4510
5171.3020  15.0850
5172.4950  15.8640
5173.6850  16.2560
5174.8780  14.3000
5176.0680  12.2990
5177.2590  14.8850
5178.4530  14.6000
5179.6440  14.2300
5180.8380  14.2600
5182.0300  14.1430
5183.2250  14.0450
5184.4170  14.4080
5185.6100  14.7880
5186.8060  13.4320
5188.0000  14.5080
5189.1960  15.6950
5190.3900  13.3720
5191.5860  14.3400
5192.7810  15.9570
5193.9780  15.7260
5195.1730  15.5930
5196.3680  16.0610
5197.5660  14.4490
5198.7620  15.0900
5199.9610  15.3130
5201.1570  15.9030
5202.3560  14.1090
5203.5530  15.9590
5204.7500  14.7010
5205.9510  14.6510
5207.1480  15.0480
5208.3490  16.1210
5209.5470  14.3960
5210.7490  14.7190
5211.9470  13.7970
5213.1460  12.1040
5214.3480  13.4130
5215.5480  13.9080
5216.7500  14.4720
5217.9510  15.6050
5219.1540  15.4420
5220.3540  13.0720
5221.5560  15.8740
5222.7600  13.7330
5223.9610  13.1640
5225.1660  16.2520
5226.3680  14.6650
5227.5730  14.1850
5228.7750  13.5200
5229.9790  14.3550
5231.1850  14.5340
5232.3880  14.4080
5233.5940  14.7090
5234.7980  14.3400
5236.0050  16.2560
5237.2100  16.8150
5238.4150  14.7820
5239.6230  15.0170
5240.8280  14.4010
5242.0370  15.1020
5243.2430  16.4640
5244.4520  15.3880
5245.6580  16.7230
5246.8650  18.1150
5248.0750  15.9410
5249.2820  15.9360
5250.4930  17.0600
5251.7010  17.1190
5252.9120  16.7400
5254.1200  16.1260
5255.3290  16.5920
5256.5410  16.8690
5257.7500  17.1320
5258.9620  16.8840
5260.1720  16.5500
5261.3850  17.9920
5262.5960  17.0880
5263.8060  15.6870
5265.0200  15.9230
5266.2310  14.8000
5267.4460  16.1880
5268.6570  16.3560
5269.8720  15.4230
5271.0840  16.0570
5272.2970  17.1740
5273.5130  15.4890
5274.7260  15.7890
5275.9420  15.3810
5277.1560  15.5570
5278.3730  16.0160
5279.5870  15.2980
5280.8050  18.3560
5282.0200  16.1290
5283.2350  15.7380
5284.4530  14.4470
5285.6690  14.9900
5286.8880  14.6110
5288.1040  15.3280
5289.3230  13.5650
5290.5400  14.0050
5291.7570  13.8380
5292.9780  14.6060
5294.1950  14.6510
5295.4160  14.6510
5296.6340  14.2150
5297.8550  15.4190
5299.0740  15.4290
5300.2930  16.2040
5301.5160  15.2530
5302.7350  18.2100
5303.9580  17.5490
5305.1780  16.9520
5306.4010  15.7900
5307.6220  15.9930
5308.8430  14.4230
5310.0670  14.4710
5311.2890  14.8430
5312.5140  13.2450
5313.7360  11.8130
5314.9610  14.8530
5316.1840  15.2460
5317.4070  14.8770
5318.6330  14.8920
5319.8570  16.9390
5321.0830  13.2750
5322.3080  16.4470
5323.5350  18.2650
5324.7600  14.3730
5325.9840  15.3510
5327.2130  13.5180
5328.4380  14.1660
5329.6670  16.9590
5330.8930  17.4380
5332.1220  16.6280
5333.3490  18.3390
5334.5760  17.5590
5335.8060  16.5590
5337.0340  16.3930
5338.2640  15.1550
5339.4920  14.8620
5340.7240  15.8400
5341.9520  16.4330
5343.1810  17.0170
5344.4130  14.4370
5345.6430  14.1450
5346.8750  13.1920
5348.1050  15.2710
5349.3390  15.7390
5350.5690  14.2730
5351.8000  16.7280
5353.0340  14.0520
5354.2660  12.8220
5355.5000  15.7900
5356.7320  16.3820
5357.9680  14.2550
5359.2000  15.4170
5360.4330  15.4220
5361.6690  14.8010
5362.9030  14.0570
5364.1390  15.7910
5365.3740  15.6780
5366.6110  15.4980
5367.8450  16.3680
5369.0800  16.0450
5370.3180  16.5080
5371.5540  15.2130
5372.7920  15.5870
5374.0280  15.9030
5375.2680  16.2050
5376.5040  15.6780
5377.7440  16.6310
5378.9810  14.7250
5380.2180  16.1580
5381.4590  15.6070
5382.6970  14.0970
5383.9380  14.2630
5385.1770  15.8430
5386.4190  15.0430
5387.6580  15.2540
5388.8970  15.3080
5390.1400  17.1470
5391.3800  17.4700
5392.6230  16.0870
5393.8640  15.5920
5395.1070  17.7970
5396.3490  17.4460
5397.5900  17.1760
5398.8350  16.6070
5400.0770  15.5900
5401.3220  17.9840
5402.5640  17.2560
5403.8110  16.9470
5405.0540  15.5690
5406.2970  16.3000
5407.5440  12.7530
5408.7880  14.0320
5410.0350  15.2620
5411.2800  16.3160
5412.5270  15.2800
5413.7720  15.0090
5415.0180  16.4390
5416.2670  15.6860
5417.5130  13.1700
5418.7620  13.7440
5420.0080  17.4120
5421.2580  16.3430
5422.5050  16.1430
5423.7530  14.9990
5425.0030  15.4650
5426.2510  12.9690
5427.5030  15.0540
5428.7510  15.7700
5430.0030  16.0180
5431.2520  16.0150
5432.5020  18.6100
5433.7550  17.0850
5435.0050  14.7790
5436.2580  16.3370
5437.5090  15.5530
5438.7630  17.3980
5440.0140  15.9600
5441.2650  15.8240
5442.5200  16.6520
5443.7720  16.2400
5445.0270  15.9410
5446.2800  15.8150
5447.5360  16.2530
5448.7890  15.2880
5450.0420  16.5850
5451.2990  14.5230
5452.5530  14.5170
5453.8110  16.2590
5455.0650  15.0940
5456.3230  16.6470
5457.5790  15.4710
5458.8340  15.2510
5460.0930  15.6830
5461.3490  16.1790
5462.6080  15.6420
5463.8650  14.3000
5465.1250  14.6240
5466.3820  17.0650
5467.6400  15.2230
5468.9000  16.7570
5470.1590  16.7640
5471.4200  15.7690
5472.6790  16.4060
5473.9400  15.1730
5475.2000  14.8380
5476.4620  14.8460
5477.7220  14.8490
5478.9820  16.3370
5480.2460  16.1890
5481.5070  15.4370
5482.7710  17.6200
5484.0320  16.0320
5485.2960  15.8200
5486.5590  16.9260
5487.8210  17.5770
5489.0860  15.4840
5490.3490  15.8850
5491.6150  15.8010
5492.8780  15.2120
5494.1450  17.5470
5495.4090  15.5130
5496.6730  16.0190
5497.9400  14.1550
5499.2060  16.0190
5500.4740  15.6780
5501.7390  15.7880
5503.0070  15.0850
5504.2730  15.5150
5505.5400  15.1420
5506.8100  15.2420
5508.0760  15.2930
5509.3460  14.3820
5510.6140  14.1560
5511.8840  14.5430
5513.1520  16.0910
5514.4210  14.9820
5515.6920  16.2520
5516.9610  15.2460
5518.2330  16.2900
5519.5030  16.5310
5520.7760  17.0410
5522.0460  16.4930
5523.3160  13.6920
5524.5900  17.0600
5525.8610  14.9810
5527.1350  14.6210
5528.4060  15.8090
5529.6810  15.2000
5530.9540  17.1000
5532.2260  18.8390
5533.5010  20.6800
5534.7740  18.7500
5536.0510  16.3770
5537.3240  15.6450
5538.6010  15.2210
5539.8750  12.9430
5541.1500  16.6120
5542.4280  15.9850
5543.7030  14.3820
5544.9810  13.4850
5546.2570  12.7500
5547.5360  14.8320
5548.8120  14.4570
5550.0880  15.1760
5551.3680  14.9400
5552.6450  16.1630
5553.9260  15.8540
5555.2030  14.2030
5556.4840  16.5960
5557.7630  15.4180
5559.0410  15.2320
5560.3230  13.6320
5561.6020  14.2930
5562.8850  15.0330
5564.1650  15.6080
5565.4470  15.1060
5566.7280  14.7340
5568.0080  14.2830
5569.2920  15.7730
5570.5740  16.5870
5571.8580  16.1690
5573.1400  18.3780
5574.4250  16.3830
5575.7080  22.5080
5576.9930  20.1390
5578.2760  -4.7360
5579.5600  14.4970
5580.8460  24.5650
5582.1300  16.8520
5583.4170  17.1420
5584.7020  15.2900
5585.9890  16.3210
5587.2740  17.9230
5588.5600  15.9440
5589.8490  15.2110
5591.1350  16.5310
5592.4240  16.3520
5593.7100  16.4140
5595.0000  16.6540
5596.2880  16.6320
5597.5750  15.6000
5598.8660  15.3140
5600.1540  13.9230
5601.4450  13.8080
5602.7330  14.7460
5604.0250  14.7260
5605.3150  17.4140
5606.6040  15.2580
5607.8970  16.9550
5609.1870  17.0080
5610.4800  16.5250
5611.7710  17.7720
5613.0650  18.2180
5614.3570  16.5500
5615.6480  15.5140
5616.9430  16.3310
5618.2350  15.7620
5619.5310  17.0750
5620.8240  17.2200
5622.1200  16.0230
5623.4130  15.9880
5624.7070  17.3030
5626.0040  18.9310
5627.2980  16.6810
5628.5960  18.2450
5629.8910  16.4880
5631.1890  16.6330
5632.4840  18.4640
5633.7800  18.8480
5635.0790  18.4820
5636.3750  19.0200
5637.6750  20.7990
5638.9720  23.7680
5640.2720  25.1070
5641.5700  31.4500
5642.8680  39.8070
5644.1690  44.0600
5645.4680  45.7340
5646.7700  36.4810
5648.0680  29.7190
5649.3710  25.7170
5650.6700  21.9300
5651.9710  20.4110
5653.2740  17.1590
5654.5740  17.5450
5655.8780  17.8810
5657.1800  16.1800
5658.4840  17.1590
5659.7860  16.5240
5661.0880  16.3720
5662.3930  16.5510
5663.6960  15.5470
5665.0020  16.9160
5666.3050  15.3940
5667.6120  15.0410
5668.9160  14.9100
5670.2200  15.7170
5671.5270  16.1400
5672.8320  16.9960
5674.1400  14.7190
5675.4450  16.2680
5676.7540  16.6600
5678.0600  17.6940
5679.3700  17.0210
5680.6760  18.1730
5681.9830  20.3670
5683.2930  19.2090
5684.6010  17.4720
5685.9110  18.3700
5687.2190  22.4230
5688.5310  21.9740
5689.8390  22.6490
5691.1480  25.6500
5692.4610  29.3380
5693.7710  35.7650
5695.0830  43.5790
5696.3940  61.4740
5697.7070  86.4510
5699.0180  105.2710
5700.3290  92.2140
5701.6430  65.4030
5702.9550  47.6010
5704.2700  38.9060
5705.5830  30.5030
5706.8980  25.1590
5708.2110  20.0980
5709.5240  18.1190
5710.8410  15.7460
5712.1540  15.4130
5713.4720  17.1880
5714.7860  17.0400
5716.1040  16.4260
5717.4190  16.3280
5718.7340  15.6980
5720.0530  14.4560
5721.3690  16.6380
5722.6880  16.5300
5724.0040  15.2980
5725.3240  16.3690
5726.6420  15.0390
5727.9590  18.1190
5729.2800  16.6100
5730.5980  15.6030
5731.9190  14.9720
5733.2380  15.5390
5734.5600  15.9930
5735.8790  14.9090
5737.1990  14.7280
5738.5210  14.7040
5739.8420  15.1200
5741.1660  14.3670
5742.4860  19.2670
5743.8110  14.8930
5745.1320  15.8550
5746.4540  15.2640
5747.7780  16.1140
5749.1010  13.9090
5750.4270  14.3530
5751.7500  16.5910
5753.0760  15.4210
5754.3990  16.6920
5755.7230  16.5890
5757.0500  16.8300
5758.3750  18.6250
5759.7030  14.1240
5761.0270  17.0090
5762.3560  16.1220
5763.6820  16.6370
5765.0080  16.5320
5766.3370  15.9040
5767.6640  15.5710
5768.9940  14.3510
5770.3210  13.2720
5771.6510  13.8870
5772.9790  15.2530
5774.3070  16.0780
5775.6390  16.9410
5776.9670  16.3870
5778.2990  14.7030
5779.6290  15.4340
5780.9610  12.6620
5782.2920  14.2690
5783.6250  12.4080
5784.9560  15.3690
5786.2860  14.3430
5787.6210  15.5470
5788.9520  14.6760
5790.2870  14.7030
5791.6190  15.4290
5792.9550  15.7210
5794.2870  14.8670
5795.6200  15.0910
5796.9570  16.2150
5798.2900  17.5040
5799.6270  16.0000
5800.9610  14.3540
5802.2990  14.2470
5803.6340  14.1000
5804.9690  15.0270
5806.3080  16.3090
5807.6440  16.3830
5808.9820  13.9670
5810.3190  15.8780
5811.6590  15.8250
5812.9960  15.8940
5814.3330  15.8810
5815.6740  15.3350
5817.0120  15.2200
5818.3530  14.3500
5819.6910  13.5550
5821.0340  15.3540
5822.3730  15.5930
5823.7120  16.2530
5825.0550  17.4510
5826.3950  17.5580
5827.7390  17.1100
5829.0790  14.7890
5830.4230  14.4430
5831.7650  16.3570
5833.1060  16.5420
5834.4520  13.5190
5835.7930  12.8740
5837.1400  15.0830
5838.4820  14.3620
5839.8290  13.8760
5841.1720  16.2150
5842.5160  12.4620
5843.8630  14.8120
5845.2080  15.9580
5846.5550  16.3740
5847.9000  15.2600
5849.2490  13.2200
5850.5940  15.0030
5851.9400  13.8630
5853.2900  16.5110
5854.6360  14.5920
5855.9860  15.0560
5857.3330  14.3260
5858.6840  14.3550
5860.0320  17.3840
5861.3800  15.5470
5862.7320  15.2780
5864.0810  16.0140
5865.4330  14.9280
5866.7820  13.8360
5868.1350  15.3290
5869.4850  16.7080
5870.8350  17.6370
5872.1890  18.5380
5873.5400  13.3720
5874.8940  17.3820
5876.2460  14.9980
5877.6010  14.1840
5878.9530  13.8140
5880.3050  12.9120
5881.6610  12.4550
5883.0150  11.7450
5884.3710  10.9550
5885.7250  11.4780
5887.0820  11.5870
5888.4370  13.1360
5889.7940  17.2240
5891.1490  9.0100
5892.5040  11.2700
5893.8630  16.4480
5895.2190  14.0180
5896.5790  11.4800
5897.9350  9.4640
5899.2950  11.7740
5900.6520  14.1840
5902.0100  12.6590
5903.3710  13.3030
5904.7290  13.8750
5906.0900  13.9530
5907.4490  14.4830
5908.8110  16.1360
5910.1700  14.2040
5911.5300  16.7140
5912.8930  15.8440
5914.2530  13.7150
5915.6170  16.9640
5916.9780  17.0390
5918.3430  17.3220
5919.7040  19.4580
5921.0660  16.6450
5922.4310  15.1850
5923.7940  14.7730
5925.1600  14.6580
5926.5230  13.5140
5927.8900  14.1920
5929.2530  14.7300
5930.6170  16.4010
5931.9850  16.3520
5933.3500  14.9020
5934.7180  15.5850
5936.0830  16.7400
5937.4520  16.3280
5938.8180  15.7910
5940.1840  15.4870
5941.5540  14.4700
5942.9200  15.6360
5944.2910  15.3420
5945.6590  16.0580
5947.0300  14.1720
5948.3970  13.7530
5949.7660  13.8680
5951.1380  14.5430
5952.5070  14.9930
5953.8800  14.8770
5955.2500  15.2700
5956.6230  16.2050
5957.9930  16.6010
5959.3640  17.0780
5960.7380  17.8440
5962.1090  17.6690
5963.4840  17.2260
5964.8560  16.6460
5966.2310  18.4050
5967.6040  16.3790
5968.9770  15.3600
5970.3530  16.6930
5971.7270  16.1880
5973.1040  15.5600
5974.4780  15.4050
5975.8550  14.9880
5977.2300  15.9480
5978.6050  15.3660
5979.9840  15.2510
5981.3600  17.3050
5982.7390  17.3480
5984.1150  17.7150
5985.4950  17.6270
5986.8720  15.4270
5988.2500  16.8420
5989.6300  14.8130
5991.0080  12.8190
5992.3900  13.9050
5993.7680  14.2860
5995.1500  13.9730
5996.5300  14.3780
5997.9130  12.7600
5999.2920  15.7520
6000.6720  14.4520
6002.0560  14.3050
6003.4370  15.9960
6004.8210  16.6390
6006.2030  17.2700
6007.5870  15.8460
6008.9700  16.4810
6010.3520  15.7580
6011.7380  15.4470
6013.1210  16.8680
6014.5080  16.5020
6015.8910  16.3130
6017.2780  16.2200
6018.6630  17.8970
6020.0470  17.7050
6021.4360  18.8390
6022.8210  18.0050
6024.2090  17.8040
6025.5960  17.1630
6026.9850  15.8570
6028.3720  16.2240
6029.7580  16.1920
6031.1490  15.4430
6032.5360  16.9550
6033.9270  18.5050
6035.3150  17.9910
6036.7070  17.8200
6038.0960  18.0660
6039.4850  17.9340
6040.8770  18.3510
6042.2670  19.0570
6043.6610  19.0760
6045.0510  19.7780
6046.4450  18.1250
6047.8360  17.2270
6049.2270  17.6290
6050.6220  17.2910
6052.0140  17.3190
6053.4100  18.5500
6054.8020  18.4890
6056.1980  18.1180
6057.5920  17.2140
6058.9850  15.5310
6060.3820  15.5320
6061.7760  16.2350
6063.1740  15.3610
6064.5690  15.9660
6065.9680  16.1500
6067.3630  16.0250
6068.7590  16.5190
6070.1580  17.6710
6071.5550  17.3970
6072.9550  16.5210
6074.3520  16.9590
6075.7530  17.1670
6077.1500  16.3810
6078.5480  15.8880
6079.9500  16.2030
6081.3490  17.4860
6082.7510  16.1820
6084.1500  15.1290
6085.5540  16.4900
6086.9540  15.3570
6088.3540  17.4960
6089.7580  17.5470
6091.1590  17.2450
6092.5630  17.9680
6093.9650  17.7300
6095.3700  19.0830
6096.7720  18.2190
6098.1780  17.9010
6099.5810  18.0450
6100.9840  17.6160
6102.3910  16.8310
6103.7950  17.3530
6105.2030  16.1360
6106.6070  16.8620
6108.0150  17.6550
6109.4200  16.9830
6110.8260  16.4340
6112.2350  15.5840
6113.6410  15.3620
6115.0510  16.4370
6116.4580  16.6850
6117.8680  16.6760
6119.2750  17.2260
6120.6830  17.8590
6122.0950  18.2680
6123.5030  18.1290
6124.9150  17.2040
6126.3240  17.4570
6127.7370  16.8960
6129.1460  17.5250
6130.5570  16.1120
6131.9700  16.8380
6133.3810  17.2840
6134.7950  16.7860
6136.2070  17.2820
6137.6220  16.1870
6139.0340  17.1110
6140.4460  18.2320
6141.8620  16.8160
6143.2750  18.2380
6144.6910  15.7620
6146.1050  16.5810
6147.5220  16.7000
6148.9370  15.2130
6150.3510  16.6280
6151.7690  16.2700
6153.1850  15.6080
6154.6040  15.2210
6156.0190  15.5510
6157.4390  15.9600
6158.8550  16.4150
6160.2720  17.3700
6161.6930  16.4650
6163.1100  18.2250
6164.5310  17.5680
6165.9500  18.1390
6167.3710  16.3550
6168.7900  18.5110
6170.2090  18.0440
6171.6320  17.8760
6173.0520  17.1840
6174.4760  16.8230
6175.8960  18.0290
6177.3200  18.4860
6178.7410  17.4890
6180.1630  16.6460
6181.5870  16.1010
6183.0100  15.9880
6184.4360  17.0460
6185.8580  16.0220
6187.2850  15.6680
6188.7080  18.4640
6190.1320  17.4570
6191.5590  16.8700
6192.9830  17.8520
6194.4120  18.2880
6195.8360  18.4540
6197.2650  17.9220
6198.6910  17.2700
6200.1170  17.2980
6201.5470  18.6050
6202.9730  17.9760
6204.4040  15.5300
6205.8310  16.1900
6207.2620  16.7410
6208.6900  17.1850
6210.1220  17.2460
6211.5500  17.2080
6212.9790  16.8940
6214.4120  16.4200
6215.8420  16.8470
6217.2750  16.4230
6218.7060  16.1200
6220.1390  17.0010
6221.5700  16.4900
6223.0010  16.1860
6224.4370  15.8830
6225.8690  16.3460
6227.3040  17.8250
6228.7370  17.4040
6230.1730  16.4640
6231.6060  15.4820
6233.0400  16.1760
6234.4770  16.1920
6235.9120  14.3190
6237.3500  15.2520
6238.7840  16.7060
6240.2230  16.2710
6241.6590  16.2590
6243.0940  16.6300
6244.5340  16.4930
6245.9710  16.9580
6247.4110  18.0460
6248.8480  18.2770
6250.2890  17.6310
6251.7270  16.9060
6253.1650  16.4440
6254.6070  16.5770
6256.0460  16.2060
6257.4890  16.5480
6258.9280  15.5930
6260.3720  17.5040
6261.8120  16.0630
6263.2520  17.0750
6264.6960  16.6860
6266.1380  15.8290
6267.5830  17.4080
6269.0240  17.0370
6270.4700  16.6040
6271.9130  16.4020
6273.3550  16.5240
6274.8020  16.6740
6276.2460  16.7970
6277.6930  17.5110
6279.1370  17.5360
6280.5850  18.3270
6282.0300  16.8690
6283.4750  18.4780
6284.9240  19.1750
6286.3700  18.1930
6287.8190  17.0740
6289.2660  16.0350
6290.7160  16.5010
6292.1640  17.4430
6293.6110  17.3390
6295.0620  16.7900
6296.5100  16.8830
6297.9620  18.0220
6299.4110  18.0800
6300.8640  14.3420
6302.3130  12.4260
6303.7630  19.0170
6305.2170  21.6910
6306.6670  16.8070
6308.1220  17.6100
6309.5730  17.2660
6311.0280  17.9590
6312.4790  17.6690
6313.9320  17.8630
6315.3880  19.7180
6316.8400  18.0430
6318.2970  17.4900
6319.7510  18.7420
6321.2080  18.4260
6322.6620  18.4660
6324.1200  17.7440
6325.5750  17.3050
6327.0300  17.6000
6328.4890  16.7480
6329.9450  17.0920
6331.4050  17.3440
6332.8610  17.6680
6334.3220  18.2850
6335.7790  17.0250
6337.2360  16.9700
6338.6980  16.9240
6340.1560  16.7840
6341.6180  16.8410
6343.0770  18.7220
6344.5400  18.1820
6345.9990  17.3940
6347.4590  17.3740
6348.9230  18.2420
6350.3830  17.6160
6351.8480  16.9860
6353.3090  17.2770
6354.7740  16.7340
6356.2360  16.2980
6357.6980  16.5630
6359.1640  16.5470
6360.6270  15.4530
6362.0940  17.0040
6363.5580  15.9600
6365.0250  15.3370
6366.4890  15.0180
6367.9540  17.4740
6369.4220  17.1510
6370.8880  16.0240
6372.3560  17.4350
6373.8230  16.9530
6375.2920  16.4550
6376.7590  15.7520
6378.2260  16.4530
6379.6970  17.3540
6381.1650  17.6990
6382.6360  18.7770
6384.1040  18.3400
6385.5760  17.9390
6387.0450  17.5210
6388.5150  17.9330
6389.9880  17.0190
6391.4580  17.8250
6392.9320  17.4030
6394.4020  17.5150
6395.8770  17.2170
6397.3480  15.9890
6398.8200  16.3450
6400.2950  15.7000
6401.7680  16.3820
6403.2440  18.1830
6404.7170  17.5270
6406.1940  17.4980
6407.6680  17.7930
6409.1420  16.7680
6410.6200  17.2330
6412.0950  17.8950
6413.5730  17.1000
6415.0490  17.3710
6416.5280  16.3810
6418.0040  16.4850
6419.4800  17.5450
6420.9610  16.4570
6422.4380  16.4980
6423.9190  17.0340
6425.3970  17.1650
6426.8780  17.8050
6428.3570  17.7840
6429.8360  17.7940
6431.3180  17.7550
6432.7980  16.9090
6434.2810  17.9090
6435.7620  15.9670
6437.2460  15.6870
6438.7270  17.9790
6440.2110  18.3680
6441.6930  18.1440
6443.1750  16.2600
6444.6610  16.3560
6446.1430  15.1960
6447.6290  16.7810
6449.1130  17.0380
6450.6000  17.0420
6452.0840  17.6100
6453.5680  18.3410
6455.0570  18.0290
6456.5420  19.1330
6458.0300  17.3150
6459.5160  18.0910
6461.0050  17.8840
6462.4920  17.8520
6463.9790  18.3480
6465.4690  17.5750
6466.9570  17.3860
6468.4480  17.3700
6469.9360  17.2980
6471.4280  17.2190
6472.9170  16.6470
6474.4060  16.8990
6475.8980  16.4920
6477.3880  17.0170
6478.8820  18.2560
6480.3730  17.8790
6481.8670  17.5840
6483.3580  18.1810
6484.8500  17.8770
6486.3450  16.4050
6487.8370  17.5110
6489.3330  18.2180
6490.8260  16.5320
6492.3230  17.2470
6493.8160  17.6180
6495.3100  15.6970
6496.8080  15.0460
6498.3030  16.0350
6499.8010  15.8790
6501.2960  16.0470
6502.7950  17.6810
6504.2920  18.4260
6505.7880  18.5040
6507.2880  18.9540
6508.7850  18.2470
6510.2860  18.9310
6511.7840  20.1850
6513.2850  18.8130
6514.7840  19.2090
6516.2820  18.4190
6517.7850  18.3710
6519.2840  16.6530
6520.7880  18.1380
6522.2880  20.5370
6523.7920  18.4940
6525.2920  17.8170
6526.7940  18.6110
6528.2990  18.7190
6529.8010  18.0920
6531.3060  19.0740
6532.8090  18.8750
6534.3150  17.2090
6535.8180  18.2600
6537.3220  18.8330
6538.8300  17.3380
6540.3340  17.9630
6541.8420  18.5480
6543.3470  18.7200
6544.8560  17.9420
6546.3610  17.9360
6547.8680  17.8520
6549.3770  16.8570
6550.8840  18.3590
6552.3950  17.7880
6553.9020  17.7480
6555.4140  18.7570
6556.9210  16.9670
6558.4340  19.2030
6559.9420  18.0320
6561.4510  18.1420
6562.9640  17.4290
6564.4740  18.1740
6565.9880  17.8260
6567.4990  17.2490
6569.0130  17.6230
6570.5240  17.6290
6572.0360  17.4570
6573.5510  18.2450
6575.0630  18.3250
6576.5800  17.0120
6578.0920  16.9420
6579.6090  16.8790
6581.1230  16.2020
6582.6370  17.7560
6584.1550  17.3260
6585.6690  16.8440
6587.1880  16.8460
6588.7040  17.7310
6590.2230  18.6360
6591.7390  17.7070
6593.2550  19.5720
6594.7760  19.2620
6596.2930  18.6880
6597.8140  19.2530
6599.3320  18.6340
6600.8540  17.7610
6602.3720  18.3150
6603.8910  18.1690
6605.4140  17.9770
6606.9340  18.1670
6608.4570  17.6170
6609.9770  17.9390
6611.5010  18.7560
6613.0220  18.6280
6614.5440  18.4410
6616.0690  17.7970
6617.5910  18.0420
6619.1170  18.8240
6620.6400  18.0330
6622.1670  18.4760
6623.6900  17.6670
6625.2140  18.6340
6626.7420  17.9560
6628.2660  17.6370
6629.7940  18.1170
6631.3200  17.6670
6632.8490  18.2350
6634.3750  18.4710
6635.9010  18.9730
6637.4310  18.4160
6638.9580  17.6280
6640.4890  18.7850
6642.0170  18.0890
6643.5480  17.5050
6645.0770  18.1640
6646.6050  18.0830
6648.1380  19.2870
6649.6670  18.7650
6651.2010  17.5920
6652.7310  18.8100
6654.2650  19.1040
6655.7960  18.5310
6657.3270  18.2600
6658.8620  18.4130
6660.3940  17.2010
6661.9300  17.2350
6663.4620  18.5730
6664.9990  17.5020
6666.5320  16.3610
6668.0660  18.1360
6669.6040  15.9710
6671.1380  16.8890
6672.6760  18.0030
6674.2110  17.3140
6675.7500  16.5800
6677.2860  18.0700
6678.8260  19.2060
6680.3620  17.1710
6681.8990  18.2650
6683.4400  18.5180
6684.9780  18.5990
6686.5190  18.7300
6688.0570  18.6270
6689.6000  17.6370
6691.1380  18.8490
6692.6780  18.7420
6694.2210  17.8410
6695.7610  18.2720
6697.3050  18.0810
6698.8460  17.0240
6700.3910  15.7580
6701.9320  15.8170
6703.4740  15.1460
6705.0200  14.5060
6706.5620  13.9510
6708.1080  15.4610
6709.6520  15.3310
6711.1990  15.8780
6712.7430  15.5400
6714.2870  17.5630
6715.8350  17.4020
6717.3800  17.1600
6718.9290  17.6890
6720.4750  18.9170
6722.0250  16.6380
6723.5710  17.9290
6725.1180  17.9530
6726.6680  18.3270
6728.2160  18.7000
6729.7680  18.5600
6731.3160  18.3590
6732.8680  16.8350
6734.4170  17.7600
6735.9660  17.9920
6737.5200  17.9140
6739.0690  18.1780
6740.6240  19.1480
6742.1740  19.0000
6743.7290  17.7940
6745.2800  18.0900
6746.8320  18.2320
6748.3880  17.5350
6749.9400  17.8130
6751.4970  17.8140
6753.0500  17.7240
6754.6070  19.3750
6756.1610  18.0050
6757.7150  18.2170
6759.2730  19.2970
6760.8290  18.5300
6762.3880  17.9980
6763.9430  18.3650
6765.5030  18.3070
6767.0600  18.4870
6768.6160  17.5060
6770.1770  17.2270
6771.7340  19.2750
6773.2960  16.2490
6774.8540  16.8040
6776.4170  16.7000
6777.9760  18.5190
6779.5350  18.3090
6781.0980  18.0000
6782.6580  17.6020
6784.2220  17.9160
6785.7830  18.6050
6787.3480  16.8010
6788.9090  18.3650
6790.4710  19.0400
6792.0370  17.9260
6793.5990  17.2070
6795.1660  18.2490
6796.7290  19.1900
6798.2960  18.4710
6799.8600  17.7570
6801.4280  17.8630
6802.9930  18.2860
6804.5580  17.8600
6806.1270  17.7330
6807.6930  17.8760
6809.2630  17.8680
